0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.006,0.004,0.014,0.028,0.028,0.034,0.054,0.084,0.086,0.126,0.114,0.168,0.136,0.154,0.172,0.192,0.188
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.018,0.016,0.02,0.032,0.05,0.078,0.072,0.062,0.094,0.108,0.104,0.15,0.136,0.158,0.148,0.202
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.01,0.012,0.014,0.036,0.018,0.062,0.076,0.076,0.086,0.11,0.114,0.138,0.128,0.162,0.196,0.144
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.004,0.018,0.02,0.03,0.036,0.05,0.068,0.064,0.086,0.088,0.094,0.126,0.166,0.15,0.184
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.022,0.016,0.018,0.036,0.048,0.05,0.06,0.064,0.078,0.126,0.126,0.14,0.134,0.13,0.146
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.006,0.012,0.024,0.028,0.042,0.04,0.06,0.066,0.08,0.066,0.1,0.128,0.148,0.136,0.15
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.008,0.016,0.044,0.034,0.032,0.044,0.064,0.08,0.076,0.088,0.114,0.094,0.12,0.172
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.02,0.024,0.016,0.032,0.032,0.056,0.048,0.052,0.056,0.072,0.096,0.098,0.124,0.132
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.016,0.016,0.02,0.046,0.076,0.068,0.048,0.062,0.076,0.062,0.104,0.118,0.138
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.004,0.008,0.02,0.008,0.036,0.05,0.054,0.05,0.052,0.084,0.112,0.076,0.122,0.128
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.004,0.006,0.008,0.02,0.026,0.032,0.046,0.05,0.038,0.09,0.072,0.082,0.104,0.12
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.006,0.01,0.02,0.016,0.03,0.024,0.052,0.052,0.092,0.084,0.062,0.118,0.11
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.002,0.012,0.026,0.03,0.024,0.03,0.024,0.032,0.07,0.054,0.068,0.07,0.098
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.002,0.004,0.012,0.018,0.034,0.038,0.024,0.044,0.046,0.062,0.076,0.096,0.088
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.006,0.006,0.016,0.016,0.024,0.026,0.034,0.04,0.068,0.062,0.072,0.106
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.008,0.012,0.006,0.03,0.016,0.034,0.036,0.054,0.06,0.044,0.056,0.09
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.004,0.004,0.018,0.012,0.026,0.036,0.022,0.038,0.064,0.052,0.05,0.066
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.002,0.008,0.008,0.03,0.012,0.038,0.04,0.042,0.062,0.042,0.054
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.002,0.012,0.01,0.018,0.02,0.024,0.03,0.034,0.066,0.054,0.074
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.004,0.008,0.006,0.016,0.012,0.016,0.046,0.04,0.044,0.048,0.072
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.01,0.01,0.004,0.016,0.02,0.032,0.036,0.046,0.052,0.048
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.004,0.006,0.012,0.01,0.02,0.026,0.028,0.042,0.022,0.054
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.01,0.016,0.018,0.022,0.03,0.04,0.034,0.07
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.002,0.008,0.006,0.014,0.028,0.05,0.04,0.038,0.03
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.004,0.006,0.012,0.012,0.018,0.02,0.028,0.032,0.034
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.006,0.004,0.004,0.024,0.026,0.012,0.028,0.038,0.04
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.006,0.008,0.012,0.01,0.018,0.02,0.02,0.024,0.038
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.006,0.008,0.006,0.016,0.016,0.02,0.026,0.03
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.004,0.006,0.008,0.022,0.01,0.026,0.016,0.028
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.004,0.01,0.01,0.006,0.014,0.022,0.026
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.002,0.01,0.016,0.016,0.032,0.012
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.01,0.008,0.008,0.012,0.014,0.03
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.008,0.002,0.014,0.024,0.016,0.018
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.018,0.026,0.028,0.028
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.002,0.0,0.01,0.014,0.012,0.016
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.004,0.008,0.016,0.008,0.014,0.008
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.002,0.004,0.014,0.016
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.006,0.002,0.014,0.008
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.002,0.008,0.01,0.004
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.002,0.006,0.006,0.014
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.004,0.002,0.006
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.006,0.004,0.012
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.006,0.006
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.002,0.0,0.006
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.004
